Emotion,Text
16923,joy,"Joy is all around us of course, but its also a choice, an attitude. Be open to joy today, share it Out Loud.   "
16924,anger,My husband and I were invited at the house of our neighbors then we got an invitation on the part of my parents which we had to refuse. A a result they called me by words that provoked my anger.
16925,joy,Aww!!! Thanx so much. Love u RT @EForneyMassages S/O to my daughter in Christ @iamchristianjoy have a great and Happy Birthday. You are 
16926,anger,When people sing the wrong words to a song 
16927,anger,I was supposed to meet my girlfriend at a pre-arranged place but it took me an hour to find her.
16928,fear,"There was dismay on her face , now . "
16929,joy,"Much pressure can overtly or unwittingly be put on grown up children , to provide grandchildren for the delight of the grandparents . "
16930,anger,Vou fazer um inception no Mario e fazer ele abrir uma. RT @rhamses: @rroio bora abrir uma? 
16931,fear,We underestimate the power of and the grip that it has in our lives and on the #choices we make. Especially in matters of #love.
16932,anger,Hopefully I am not completely misremembering the area around Lawrence Station. Where my subway decided to short turn. 
16933,sadness,A disconsolate group of climbers sitting round a kitchen table all lean forward and peer out at the iron-grey clouds rumbling past . 
16934,joy," Oh , I love the roof tiles on Spanish style houses . "
16935,joy,"right any smart person out there help, downloaded the new twitter iphone app and the bloody thing keeps freezing/ the app wont open? :| "
16936,sadness,When my grandfather died.
16937,neutral, OK . 
16938,anger,I was angry about several drivers who showed an aggressive and dangerous driving habit.
16939,surprise,Dan ternyata banyak nyawa tertolong oleh defibrillator (alat kejut jantung) (selain mungkin karna faktor msh ada usia :p) 
16940,joy,@laikenbritt our life would be sub par if we didn't hate anyone.... 
16941,surprise,"i'm getting you the same thing you got me on my birthday, nothing, not even a cake "
16942,fear,"Some ill children feel so angry , depressed , or anxious about their condition that they refuse to eat . "
16943,joy,well back to Findlay with a lump in my throat and a stomach ache... 
16944,anger,Holy poop nuggets I just want to feel better! 
16945,anger,"` You do these ? "" he asked an indignant Auguste . "
16946,joy,"going back to school tomorroowww jk, hate everyone"
16947,sadness,` Then why are you looking so glum ? 
16948,fear,"To the dismay of the South Africans , umpire Cumberbatch merely signalled a leg-side wide . "
16949,neutral," I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . "
16950,neutral, Yes I do . How about you ? 
16951,anger, project their &amp
16952,joy,"To have a friend who I didn't see for months, and under the circumstances that I met him made me feel happy, and perhaps because it has been one of the good things that I learned with this friend."
16953,joy,I just accidentally slammed my head against the wall... 
16954,surprise,"J'ai hâte que les gens ouvrent le frigo du réfectoire de la fac... un ibis rouge empaillé, ça doit faire peur, tout de même ^^ "
16955,joy,Got to love Christmas time:) 
16956,disgust,!!!!! Nasty gay ass RT @Mz_NayNayBbyy: Now Why Would u Wanna Suck Ur Own D*** !! #RHOA
16957,sadness,"None of our generation are 'glamorous' like Marilyn Monroe& many people are really beautiful either, theyre just fake pretty, "
16958,fear,My soul has just been pierced by the most evil look from @rickosborneorg. A mini panic attack and chill in bones followed soon after. 
16959,joy,"Gleeful opposition leaders and Tory Euro-sceptics said the Government 's handling of Maastricht had descended into ` shambles "" . "
16960,joy,Waking up at 4 to finish macbeth and study. Thats the second time this week. #fuckhighschool
16961,fear,"He seemed agitated , restlessly pacing about , looking out into the crowds , then drawing back into the shelter of the arcade . "
16962,joy,"@Sbm40 Thanks, soul sister &amp; companion!"
16963,anger,"There was a woman who wanted me to call her mother , and then called me awkward , exasperated and frightened with the dreams and the screams . "
16964,joy,"I wanted to go out to walk but I didn't know either where or with whom, suddenly an invitation appeared."
16965,sadness,"Julie 's devastated husband Tim , 32 , was last night preparing to fly from their home in Northampton to identify his wife 's body . "
16966,surprise,Oh null you thought it was fa play play 
16967,fear,&quot
16968,disgust,Having to see someone you don't like on a regular basis -&gt
16969,joy, It sure is . 
16970,fear,Don't let the of your  or the of your Future . Ruin the #Happiness of your #Present. #Realshit
16971,sadness,"As he was rushed to hospital , his devastated daughter Suzanne went ahead with the service -- not knowing if he would live or die . "
16972,joy,I haven't even looked out the window and I can hear the rain pouring down. 
16973,joy,Hour long ride home. 
16974,joy," Yes , I'd love to.Here is a good one , Mozart and Beethoven.It ' s on the Festival Hall . "
16975,sadness,did anyone else NOT go black friday shopping? 
16976,surprise,I've been planning a trip since September for @DJTravisty08 to go to the  concert in Chi - they're sold out today :( babe 
16977,sadness,Some people are dickriders... and it's sad to say that some of them are close friends of mine.. 
16978,sadness,My friend came over to my house for a sleepover and she forgot her copy of  Deathly Hallows Part 2. Really?? D: 
16979,neutral,"How do you do , Prof.Smith . "
16980,anger,Shutting  is  Shut down to the people who don't  you.. Stay  to the new  They don't deserve the 
16981,joy,"Weeping may endure for a night, but comes in the morning! Guess what? It's Sunday Morning!"
16982,anger," I don't care about that , Allen ! What did he steal ? That's the question ! "
16983,neutral, So ? 
16984,fear,"It emerged that , in conscious and especially in excited or agitated patients , the drug produced a remarkable state of inactivity or indifference . "
16985,fear,People want everything to change whilst wanting everything to stay the same.  #PauloCoelho
16986,anger,"New Year's Eve party in the country, I hardly knew a person; my partner spent most of the time at the bar. I had little opportunity to get to know people because our table was separated and my boyfriend's parents were present."
16987,sadness,"@jwest1577 You know, I LOVE those, but twice they've made me puke so I can't drink them any more. "
16988,fear,I thhink its funny @ThatBoyDMcKee will call me bout the lakers but wont answer when we tryna hoop hmm 
16989,sadness,No more Pulzar FM :( another earthquake victim. Sucks   
16990,anger,“For every minute you are angry you lose sixty seconds of happiness.” — Ralph Waldo Emerson #happiness
16991,fear,I think we go for people we know aren't right on purpose out of of ever having anything real.
16992,joy,"My friend had organized a birthday party for me secretly, I was very happy not so much for the presents but because they seemed to care for me."
16993,neutral," Well , it pays off for her.How old is she anyway ? "
16994,joy,I've decided...I will not allow ANYONE to tell me I can't listen to   all year round. & 
16995,joy,I met my present boyfriend on a boat trip to England.  We had said that we would call each other when we got back to Sweden (we were not going to the same town in England).  As soon as I walked in he called from England as he could not wait till he came home.
16996,surprise,"We got a free diso ball ornamint and it has thongs inside ?  i thought it was candy, not underwear ! !"
16997,sadness,At my grandfather's funeral - My grandparents virtually raised me as my mother was a solo-parent and had to work.
16998,surprise,"Je viens de recevoir 6 bouteilles de champagne par la poste, sans mot, sans expéditeur... Merci, mais C'EST QUI ???!!!!!!! "
16999,fear,the emotion of a weak heart
17000,sadness,@lelepooh1 @donniewahlberg  That's my girl!!! Awww damn! No lido deck for me! 
17001,sadness,"When my mother went through an operation, it was not very serious but I was sad and could not sleep before the operation."
17002,fear, when no footballer wanted to risk contesting for a ball in the air with Bensela. of Head.
17003,joy,Back to Special K for breakie today. Putting the Xmas tree up today - wonder how long it will be left standing with the beanie about! 
17004,sadness,"@maanacatalina @Reyes_Mai @afbarron @mariafernandarm QUEEEE?? Chin! No lo recordaba, hagamos falta colectiva como en la escuela ☺"
17005,fear,Going to attempt to learn how to swim....Gotta tackle this fear somehow.. keyword    
17006,sadness,When I went to see the dead body of my uncle.  This was a very dramatic expreience as it was the first time that I entered a mortuary.
17007,joy,Did you see this free sms app? Wlhi it is working cool. 
17008,fear,"Lo ga takut untuk mencintai, yang lo takutin adalah tidak dicintai balik.  "
17009,anger,Quarrelled with my younger brother.
17010,joy,Wasn't it great when you found unplayed credits on your favorite arcade game?! 
17011,joy,Just got offered another job for next semester!!!  God is so good. #
17012,fear,Looking for people suffering with  #water. To help me with my research project. I will ask a range of simple questions!
17013,sadness,"My mother left my father for his best friend, and he moved to Papua New Guinea. Despite the fact that I am closer to my father than to anyone else in my family, I had to move in with my mother, and say good-bye to my father, not knowing when I would see him again."
17014,disgust,i hate twitter spam. 
17015,fear,There is indeed much disquiet at any delay in immediate fulfilment . 
17016,disgust,"right!!! RT @D11H:  RT @EriicJ -- ladies with mustaches, smh atleast shave them, pluck them, wax them or some shit "
17017,fear,«@ModyMolly says: remember what happened last time. #FAITH says&quot
17018,sadness,That awkward moment when a fat guy cockblocks you away from a hot guy. #shuttleride
17019,sadness,feel like im gonna chunder my guts up...but i really want to go on a bikeride!!! 
17020,joy,Spaghetti and Tangled. Probably the best combination eva! 
17021,sadness,"Support for the Greens may have shrunk but it was still at the same level as the Liberal Democrats "" , the third party in Parliament , so perhaps Ms Cooke was unduly downcast . "
17022,anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used ."
17023,surprise,"&quot;if I don't love it, I don't swallow&quot; I dare you to guess which movie that's from! "
17024,fear,..checking your phone in the washroom and accidentally dropping it in the toilet...lol
17025,surprise,The sprouts I got for lunch came with roasted chickpeas. I wasn't going to eat them but then I had one - turns out - macadamias! 
17026,sadness," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
17027,joy,On my way home:) got math homework and gotta study for two tests. 
17028,sadness,"Recent break-up of seriors long-term relationship, helped along by would-be  in-laws."
17029,fear,When going out I am threatened regularly by two punk-girls.
17030,neutral, Is it nice ? 
17031,sadness,"Julie 's devastated husband Tim , 32 , was last night preparing to fly from their home in Northampton to identify his wife 's body . "
17032,surprise,@bmeholder can I stop by today after school? I want to bring you something:) 
17033,joy,coaching solo tomorrow since adam had to go to florida 
17034,sadness,"` I was devastated , "" he says of missing the semi-final . "
17035,anger,Conceding defeat  now fumbles into an interim  a little too late to muffle public 
17036,joy,Minus three hours until cinnamon roll sales 
17037,sadness,"my shock has finally started to fade, and i can now say this: jim Magic IGNORED me yesterday, he was too busy chatting with hanna… "
17038,joy,I Love Making Shemiah Mad ( : 
17039,neutral, By who ? 
17040,neutral, Five . 
17041,joy,I realized it's  night - always realize that right before bed. Now waiting for my shot to warm up...  
17042,anger,"if I'm not accepted in ten days, I'm blowing up. "
17043,fear,"RT@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
17044,joy,Got up and ready for work to find out right before I leave I don't have to be there for another 2 hours...now driving in the snow 
17045,joy,@camilliec ouais en titi! Lol gonna be able to take pills and have no more pain in my knee :D 
17046,surprise, is expecting to work 15 minutes away from 5-10 pm and actually working 60 miles away from 9-5 #someonepleaseupdateTT
17047,neutral, What do you mean by saying so ? 
17048,neutral, No problem . 
17049,surprise,Lmao my family thinks I'm coming home in the morning! :P 
17050,sadness,My relationship with a boyfriend was finished and I didn't succeed a years-course.
17051,joy,Learning three hard and long chapters of chem for essentially the first time...
17052,neutral, A second language is always difficult . 
17053,surprise,@Baysidette @v_reyes @yankeecremoso big ass regalo on her back 
17054,fear,At about midnight I had to go by bike through Graz alone. On the whole it was a distance of several kilometers. A car followed me through the streets. Only when I went into a one-way street the car disappeared. The rest of my way home I was very afraid.
17055,joy, is the day i stop giving a damn about your ass 
17056,fear,I need to get over my (irrational) of interviewing people over the telephone. Just think #ErrolMorris. #media
17057,fear,@YesIamQuESt would it offend you if when I listen to otFailure (the song) I'm thinking about girls?
17058,joy," Yes , next March . "
17059,surprise,"&quot;20min on the erg, as hard as you can,open SR, meters will be recorded and ranked...&quot;  "
17060,joy,"Leaving for stl today. 9 hour drive, "
17061,sadness,I received the mid-term exam paper of one of my major subjects and I found that I had failed it.
17062,joy,Just sent a few emails... Now I shall play the waiting-for-PR-ladies-to-call-me-back game... ah. 
17063,sadness,What this implies and should express is the field-worker 's moral commitment to his foreign hosts 
17064,surprise,"@Sascharv De har nog en del att snacka om så småningom, tänker jag :) "
17065,joy,"` In my youth "" , says Baxter , ` I was quickly past my fundamentals and was running up into a multitude of controversies , and greatly delighted with metaphysical and scholastic writings . "" "
17066,joy,"I have the worlds worst parents, and apparently they the the worlds worst daughter. Looks like I'll be sitting at home tonight. "
17067,joy,I'm freezing :( I need my cuddle partner but he's 2.5 hrs away! #cold #sleepy 
17068,shame,"Her meagre shilling donation was an embarrassment in this wealthy company , but she refused to think of it . "
17069,joy,I love Christmas Music! Just gets me in the Holiday spirit:) #tistheseason
17070,anger,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . "
17071,joy,"Ugh. Despite a midnight shower to wash the vomit out of her hair, both children were up &amp; at 'em by 7 this morning. Bring on the coffee"
17072,sadness,"Which was a curious sensation , since in fact her eyes were downcast , apparently studying the vinyl squares of the floor . "
17073,sadness,"Should i be happy that i finally got the sign i always wanted, or be sad that this sign means i have to end it and let go? "
17074,sadness,I miss both of my best friends in the whole wide world. 
17075,fear,"No material object  # pleasure, or #desire can exist within a present moment. I am free within present moment, with joy &amp; bliss"
17076,fear,"When I realized that we are living on borrowed time, and that the nuclear holocaust appears to come closer every day."
17077,joy,"No sleep for me, been up since 10am thursday morning...Now off too go shopping with my mother in a pissy mood. "
17078,joy,5:30 and the paper is finally finished and printed  #sleepytime
17079,joy,The Irish Cream is mine!! #deliciousness
17080,fear,LOVE LOVE LOVE Da Onli Thing I Truly 
17081,anger,When I was accused of having refused to do some hostel work while I was at school.  Actually I had not been allocated any work.
17082,neutral, What scene ? 
17083,fear,"pfff. J'ose pas aller pisser, ils toussent de partout dans la salle d'attente, style &quot;on sait que t'es là, on t'attends, mouhahahaaaa&quot; "
17084,anger,When I realized that the person I was courting hadn't been really by my side for a long time already. He had deceived me and I let him deceive me.
17085,joy,coming home from an exhausting day ... To do math homework 
17086,surprise,enormous thunderclap --&gt
17087,surprise,"@jaimej7 I really hope that your not naked when you come in your room, I decided to come up from the basement "
17088,surprise,She was totally nonplussed . 
17089,sadness,Having a hard time right now. Lots of Good thing it's time for Sunday night #meditation
17090,anger,Angry people’s perceptions are real to THEM - your opinion is irrelevant.      
17091,anger,When someone does not listen to me after having asked me to repeat what I said. This happened more than one time with the same person.
17092,sadness,When my elder brother died.
17093,neutral, maybe you can come to the bar one day and I ’ ll show you around . 
17094,joy,"My eyes burn, I have a major headache, and a ton of homework.Hopefully tomorrow night will be A LOT better!"
17095,fear,Watching  Ten ACC Challenge. Let's go Terps! The Turtle
17096,surprise,@Laura_Emily8 yes&amp
17097,anger,just watched a lady throw her crackberry on the ground of a parking lot out of frustration... wait until she has to turn it back on...
17098,sadness,I haven't been to Toys R Us in like 5 years.. 
17099,anger,I took part in a football match. The referee was extremely partial to the opposite team. This stirred up my discontent and anger.
17100,surprise,I got dressed today. Which means no slacks or sweats on. 
17101,anger,My sister once stole my mother's money and made her very angry.  After this my mother would beat her up for unreasonable reasons.  One day my sister lent her book to a friend without telling my mother about it.  When my mother learnt this she beat her up and even threatened her with a pair of scissors.  
17102,joy,I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.
17103,joy,When Wayne and Sue (close friends) were announced our guardians at ther wedding.
17104,fear,Woke up to an open closet door...& #monsters D:
17105,sadness,Every liquor store is closed!! 
17106,anger,@NakedHeatWave People are RIDIC. We can't just have fun + enjoy our show without this stoopid crap??!! Makes us all look like fools. 
17107,joy,Ohh my 2 hour night class 
17108,fear, I worry about losing people I'm closest to over something stupid. #sadtweet
17109,joy,I'm so fucked off. I've had a new arse hole given to me today! 
17110,anger,"When my brother got very low marks in the exams, I was very angry. I put my studies aside to help him, as every time my brother does  badly at school, my family members blame me as well. "
17111,surprise,@jtpierson3 Hahahha ohh yes! good thing he doesnt have a twitter! I say we dont tell him. 
17112,fear,You should have the of losing one's softness in the heart and its hardening.
17113,sadness,A friend of mine was hurt as he thought that our relationship was not the same as before and something had gone wrong.
17114,fear,"Where ever resides at in your life move in that direction with boldness! The more u go, the less it has power ova you."
17115,joy,Great dancers are not great because of their technique
17116,surprise,@ManonTYGA J'ai une pour toi donc tshek quand t'es la &lt
17117,joy,Got sanduskied by the calc test and it dropped my grade by four points. 
17118,neutral,"Mary , how was your date with john ? "
17119,joy, Are you serious ? That will be wonderful ! 
17120,fear,"Lo ga takut ketinggian, yang lo takutin adalah jatoh dari ketinggian itu. "
17121,anger,Misunderstood by friends.
17122,anger, It's a brick ! I can't believe how stupid I was . Damn it ! 
17123,joy," Yes , Deborah and I are going to buy a new home in Woodlawn . "
17124,anger,How the hell can DirecTV not have CSN! Can't even watch the  game. Fuck! 
17125,joy,A full day of work in the library awaits! 
17126,fear,Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . 
17127,joy,"@Hailzbabyy haha I know, it hurts like a bitch and then u fall asleep &amp; when u wake up you have like a headache "
17128,fear,@GagasSkalliwag Yeah thanks. I'll need that. He might over Novocaine me and ruin my face for life... ): 
17129,fear,"When you quit fearing pain and learn to  and embrace it, you will lose everything all together"
17130,joy,"Modigliani , delighted with the atmosphere of warmth and sincerity , resumed his friendship with Soutine and Indenbaum . "
17131,joy,"&quot;Where I stop, you begin. Where you stop, I begin. Where we unite is bliss. Where we overlap is love!&quot; via @ManWifeDog  "
17132,joy,"The Buenos Aires flight was delayed and the plane horribly hot , but this didn't upset the passengers who seemed delighted to be going home . "
17133,neutral, I won't be long . No more than ten minutes . Why don't you go ahead and I'll meet you in the park ? 
17134,neutral, They did . 
17135,sadness,Ugh 4 years left of school FML 
17136,joy,"Jesus said, &quot;Come to me all you who are weary and heavy laden, and I will give you rest.&quot;          "
17137,surprise,I remembered I was white tonight when I was trying to rap Nicki 
17138,joy,"It's the day AFTER Thanksgiving! I'm thankful to freely hum Christmas Songs w/out people telling me, &quot;You're out of your mind!&quot;  "
17139,surprise,"Gisteren ontzettend leuke surprise party gehad, jarige job was helemaal blij! "
17140,joy,Workout was good but now I really gotta focus! Enough pacing back and forth around my apartment...gotta start the crapload of hw. 
17141,sadness,@Kohesion10 trying to write a lesson plan. I'm new to this and apparentyl I SUCK!! 
17142,fear,"some  ians want to replace a military dictatorship with a civilian one, to avoid elections at any cost. "
17143,joy,I love surprising people....
17144,sadness,My father won't be so pleased with me as if I was elected.
17145,joy,Going home now! School tomorrow! -.-
17146,sadness,"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . "
17147,sadness,"I'm literally finding stuff I've been looking for since the 9th grade, but I still can't find what I'm looking for right now. "
17148,fear,"Giving the mouse hand puppet a gravelly, Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins. #Laughter"
17149,fear,"!!! RT @RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
17150,anger,Being sexually assulted on a bus and noone helped (people only laughed).
17151,neutral,Freeze ! 
17152,joy, Kirk Franklin ---&gt
17153,sadness,Cant sport my Chargers hat til next august now #seasonisover #GoTebow
17154,joy,At last...the snow came. So looking forward to christmas 
17155,sadness,Today was such a good day. You ruined it. :(
17156,fear,"To me that puts us in a difficult position when trying Germans , whose crime was obeying their superiors "" orders , whatever our horror at what those orders led to . "" "
17157,fear,"The repeal movement 's national leadership , alarmed about Hopkins ' activities , wrote warning her against any collusion with the enemy . "" "
17158,anger,When microwaves only wanna heat up half of your meal. 
17159,surprise,@tweeterle @mtrench @dgrandi13 OH.MY.GAWD....u guys like marianas trench?? I met them in columbus earlier this year :D :D 
17160,sadness,Just saw a picture of a Chinchilla....but it has completely lost it's meaning now...@blainecooper20 
17161,sadness,There Will Be Blood on Blu-ray but no blu-ray player yet...
17162,fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun..... & 59:19 (KJV) #glory #God"
17163,surprise,I really hope she stalls this until Christmas. It'd be a lot of help. 
17164,joy, I would like to compliment you on your diligence . 
17165,sadness,"His brown , nearly auburn hair clung to his scalp as if with misery , sad eyes stared out of a freckled face , his hands were clenched tight . "
17166,surprise,Volgend jaar iets grappigs maken van een luciferdoosje of een kuipje boter. 
17167,anger,"` I do n't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . "
17168,fear,"Riding through a bush fire on an island of Australia - on a pushbike as a little boy - all alone, lost and surrounded by smouldering wood and flame."
17169,disgust,“@DjCassiusCain #lowkee im bout to start fuckn wit super fat sloppy bitches only...im talkin lift my belly to get the poon poon”
17170,sadness," I'm sorry , sir.The price is fixed . "
17171,disgust,@Nat_Nat143 lol That was crazy ! Now that was just lotion imagine if it was somethin Bigger she couldn't stand the smell of. 
17172,anger,I was peeved to see Robert Kilroy-Silk credited with inventing the egg trick in a recent colour supp. profile . 
17173,fear,&quot
17174,sadness,"It's your turn , sir . I'm sorry that you had to wait . Saturday is a busy day for us . "
17175,joy,Egyptians abroad is electing rightnow! Thats what I call a step forward to democracy. This is the real optimism :]   
17176,anger,When close relatives tried to dissuade me from studying Psychology because of its low status.
17177,neutral, Let's go on the computer to see what's up . Do you think you are doing well ? 
17178,joy,Sitting in on my training session on the new aido platform..
17179,surprise,"Another day in Hawaii, and today was a good day, we have a surprise birthday party for my friend.  #party"
17180,surprise,"@M_Della Lol!! Since you've whistled so loudly, come pick a Khazana Voucher for 1,000shs - Management Office ask for Ann/Leah. "
17181,sadness,Drunken truth: I'm so I love with myself that I won't notice if true live hits me in my face. #realtalk #imajerk
17182,sadness,"Leapor was still downcast about the loss of her job , perhaps unable to write much poetry , when she met Freemantle . "
17183,sadness,It made me very sad to hear that some construction company was going to build houses on the beautiful hills by my house.
17184,sadness,This lady on the bus is wearing a bright yellow jacket and matching headphones but too many people are between us to get a picture 
17185,sadness,"Despite moments of despondency , de Gaulle himself certainly did not give up hope . "
17186,surprise,"@EmmyRTWS Not necessarily, if you cut it multiple times in one day. Esp if you can arrange to do it while he is gone all day. "
17187,anger,"Well, I did not get a 99 dollar touch pad   b/c EBAY KEPT CRASHING OMG - even after they confirmed my  account! "
17188,joy,"Decided this is gonna be a good day, and started my assignments straight after my morning coffee. "
17189,sadness,The death of my father.
17190,joy,Semana q viene J15 @Supersubmarina en @SalaLaRiviera V16 @ochentaycuatro en la y mi duda es S17 @ChiliPeppers o @polockband  no es coña
17191,joy,"When she was ecstatic , and she was often ecstatic , ecstasy flew from her face like the sun from a mirror . "
17192,fear," No , forget that ! Do the tourniquet first . I'm losing too much blood . "
17193,anger,When I go Tf off on some people they'd never know I had that much in me! don't fuxxin test me!
17194,joy,"i'm so glad i don't have school until Jan.9th.:) its just gonna be working and relaxing.no, school,no stupid emotions,no complications. "
17195,sadness,So many amazing concert tickets go on sale this Friday...   
17196,fear,"That 's why I 'm not frightened of your report . "" "
17197,anger,It was a revelation after the pain of trotting and Nails was cross when Nutty brought it to an end . 
17198,anger,"I swear, if I am given a choice, I'll be a man in my next life. This worrying about nannies and all that is f*d up. No, really. "
17199,sadness,Can't wait to leave this place.. Can't feel the funkiness anymore.. 
17200,surprise,&quot
17201,joy,"` Yes , yes , I did , "" she told him , feeling ridiculously pleased that he was clearly enjoying her first attempt at baking a cake . "
17202,sadness,You walk away. Everyday it will rain.
17203,fear, let the of striking out get in your way. -Babe Ruth
17204,joy,A smile of amusement played on his lips as he studied his unkempt prize . 
17205,joy,"I am still dizzy from last night. Good times with a dear love from a lifetime ago. Love, laughter, tears, and sweet nostalgia. "
17206,neutral, Where to ? 
17207,joy, That's great . What's on tonight ? 
17208,fear,"I was camping in an old broken hut which had no lights.  I had brought along a lamp which was not working very well.  The door made strange sounds and I was sure that strange things were happening.  The most terrifying bit was that there were many wardrobes in the hut and everytime that I looked in the glass of the wardrobe I felt that there were \objects\"" behind me.   The whole night was spent in fear and restlessness."""
17209,sadness,been waiting for this moment for forever ..... just too scared to to . 
17210,joy," Good morning , Emma ! A lovely day , isn't it ? "
17211,fear,This Duke game is going to give me a panic attack and it hasn't even started.. @holldoll2 
17212,fear,France expressed horror at the assassination and appealed for unity to assure peace in the country it once ruled . 
17213,fear,I'm schizophrenic + gay. Ordinarily just one of these'd be inconceivably difficult for a Sri Lankan family to cope with  
17214,sadness,"` I 'm too miserable to eat . "" "
17215,fear,Amazing presentation on  students of #crime on campus #SocSciSymp #UDayton #UDCJS
17216,joy,@example youre I'm Cardiff tonight and I'm sat depressed because I couldn't get a ticket.. have a good gig:-(
17217,fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
17218,joy,Off to an Xmas jumper party minus an Xmas jumper. Compensating with a dress so glitzy my compatriots are required to wear sunglasses 
17219,joy,Yay ! I can officially say that I've successfully completed another year of Uni :) One more to go !  
17220,fear,Writing is fun when it's just for you and your peers. It becomes scary when you start sending out your work to be judged &amp
17221,joy,@LUVBBW THANKS SO MUCH for the  Gift Set &amp
17222,surprise,OSHIT! wow best day ever!! partly because I saw @kemck02 on  campus today!!! Didn't even know you were in London! :'D 
17223,surprise,Deconstructing the latest Dexter episode. 
17224,surprise,woke up this morning to find an inch of snow on the ground? #hatewinter
17225,surprise,"I find it hard to believe people actually enjoy listening to Drake, Nicki Minaj, or Lil Wayne.. its a joke, right? !!"
17226,disgust,Fat stank people ME
17227,fear,"look, if we can't make the occasional crass sexual joke about serious protests, the terrorists have already won. "
17228,neutral, what ? 
17229,joy,Break! Imagine…Peace reigns. All are fed. All have shelter. All are healthy. All are abundant. How does THAT feel? #LJB
17230,joy,First snowfall. This is when retard drivers comer out. #ilovetraffic
17231,disgust,"Ugh, typos in tweets really ruin the you're whole day.  "
17232,anger,This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.
17233,sadness,But i didnt get to see ms.limas pretty face.. :/ 
17234,anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper at a reduced price.  After queuing with screaming children; it turned out that I had taken two 8 roll packets instead of the one 16 roll packet to which the rebate applied.  The assistant said \You will have to get it another time.\"""""
17235,fear,Ya mejor me ire a dormir :S im scared haha alrato d seguro terminare pasandome al cuarto d mi mama xD 
17236,sadness,"Thank you, ASPCA, for zapping today's Christmas cheer out if this bleeding heart's day. Oy! "
17237,anger,Another crack on this gay phone 
17238,fear,is the lock &amp
17239,joy,Looking forward to decorating the tree with Abby when I get home  #shrubbery
17240,anger,Is like drinking poison and expecting the other person to die?
17241,neutral, Yes . 
17242,anger," I've never been to such a dirty restaurant , and never seen such slow service . "
17243,fear,He told me he was  with me. told me not to tell him I felt those butterflies too.
17244,fear,"I saw the world without any borders in my  I was flying under the sun above the trees, no just #love. Dreams are my reality"
17245,anger,"A man kept a seat taken by putting his coat on it after a while the chair was still empty, I asked him if I could use the chair, he didn't agree for the chair was for his coat."
17246,fear,"Wonderful reminder: &quot;@FredericBrussat: To live a  life, we must lose our of being wrong.  Joseph Chilton Pearce”"
17247,joy,Pulling three back to back shifts for nearly 20 total hours .. 
17248,anger,@Emma__Janeee FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER?! hahahaha xx
17249,fear,"“@MargoDeGange: We often procrastinate when we are not clear or focused, so we lose confidence &amp; sets in. So get focused!”"
17250,anger,"I was angry when my sister began to talk nonsense and to laugh at the way I swept the room.  My anger grew (I tried to control myself).  After telling her to leave me alone, I vented my anger on her as she did not obey me."
17251,anger,"` Oh ! "" she bleated , her voice high and rather indignant . "
17252,joy,Dressing up tomorrow for basketball :)
17253,joy,` The problems start when he becomes more excited and frisky than usual . 
17254,surprise,Excited about the idea of college lately. 
17255,sadness, But she means a lot to me . 
17256,fear,Meera was a little nervous about having her hair coloured so Chris used the non-permanent Colour Touch . 
17257,joy,Yay! Done with one final! ...Now to continue hating my life and studying for the next one... 
17258,joy,Breaking Dawn with my sister and her friends :) #littlesarcasm
17259,joy,"To his absolute delight the first trap had held what must have been a seven pound salmon , plus a couple of mullet which he had ignored . "
17260,fear,The Lord will  you from all evil
17261,sadness,Hate when you follow someone but they don't follow back 
17262,surprise,@RebSportsRadio @captainmcinnis I have LOVED watching so many people create rumors. It's crazy how talk starts!! 
17263,joy,Just found out I had a test tomorrow.... 
17264,joy,Today is a GREAT day no matter WHAT happens. @iamnurisha&  #believe #triumph #positive #motivate #inspire
17265,joy,There is absolutely nothing sweeter than a 2 year old dancing around singing &quot
17266,joy,"Somehow she rose over her excitement , though , and concentrated all she could on the task at hand . "
17267,fear,The idea of their having a say in the running of a club appears to make officials recoil with horror . 
17268,surprise,Excited for tomorrow's plan on  birthdaaay! Yeaaay 
17269,fear,Nasty do it for the money factor
17270,joy,Then in his foolish exhilaration he had leaped into a tree and spotted them with his binoculars . 
